customer_id,name,age,gender,owns_car,owns_house,no_of_children,net_yearly_income,no_of_days_employed,occupation_type,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,credit_card_default
CST_141063,Laura,38,F,N,N,1,338184.52,2789,Medicine staff,3,0,84563.18,45080.94,74,926,0,0,0
CST_116377,Jed Horowitz,47,F,N,Y,0,168568.12,365242,Unknown,2,0,17358.32,25932.07,47,828,0,0,0
CST_158238,Bases,36,F,N,N,1,117109.9,8237,Cooking staff,3,1,20040.43,14233.47,63,665,0,0,0
CST_101035,Axel Bugge,30,F,N,N,0,71328.2,365240,Unknown,1,0,7220.9,18168.37,19,658,0,0,0
CST_122852,Aruna Viswanatha,50,M,Y,Y,0,314945.18,4797,Laborers,2,0,42582.18,85347.7,94,802,0,0,0
CST_152035,Gupta,29,F,N,Y,0,206085.22,365248,Unknown,1,0,21106.67,27084.9,94,892,0,0,0
CST_109695,Brett Wolf,27,M,Y,Y,0,170719.91,2533,Laborers,2,1,56839.81,30176.45,67,714,0,0,0
CST_143079,Emi,46,F,Y,Y,0,154594.15,2511,Unknown,2,0,33184.49,38392.04,38,776,0,0,0
CST_125361,Georgina Prodhan,36,M,N,Y,0,67757.98,1534,Laborers,1,1,10555.3,12974.83,47,672,0,0,0
CST_143247,James,43,M,N,Y,0,120271.24,365252,Unknown,2,0,28909.08,31004.48,73,934,0,0,0
CST_156156,Palmer,46,F,N,Y,0,315152.87,365243,Unknown,2,0,45927.8,82454.66,50,873,0,0,0
CST_131667,Angela,31,M,Y,Y,0,200938.77,2047,Core staff,2,0,41112.53,46717.69,18,871,0,0,0
CST_156312,Kubota,49,F,N,Y,1,76954.18,2323,Unknown,3,0,18462.09,18613.83,32,883,0,0,0
CST_101645,Olivia Rondonuwu,27,F,Y,Y,1,225482.55,848,Cooking staff,2,0,33008.48,71967.52,66,791,0,0,0
CST_136935,Jan,51,F,N,Y,0,79279.33,2920,Unknown,1,0,23557.78,10127.82,31,708,0,0,0
CST_118772,Matt Scuffham,52,F,Y,Y,0,131146.21,365252,Unknown,2,0,9392.45,34546.5,31,660,0,0,0
CST_126735,Abrahamian,40,F,N,Y,2,287293.71,4883,Core staff,4,0,25267.59,68036.75,60,660,0,0,0
CST_122919,YueYang,25,M,Y,Y,0,100673.04,365243,Unknown,2,0,15622.97,17093.8,45,666,0,0,0
CST_121461,Costa Mark,55,F,N,Y,0,71010.75,305,Managers,2,1,35127.52,24022.53,80,532,2,1,1
CST_165268,Kranz,28,M,N,Y,0,169396.2,3118,Unknown,2,0,29073.44,36339.32,86,803,0,0,0
CST_154383,Thomas,52,F,N,Y,0,276787.37,365244,Unknown,1,0,27664.98,30720.67,27,677,0,0,0
CST_151952,Ortiz,28,M,N,Y,0,318158.84,3541,Laborers,2,0,38433.29,50082.69,67,906,0,0,0
CST_115959,Anna Ringstrom,29,M,Y,N,1,228190.29,4398,Laborers,3,0,32461.77,50975.07,49,896,0,0,0
CST_143512,Xiaowen,23,M,N,Y,0,148636.03,1047,Core staff,1,0,39463.18,54915.28,21,730,0,0,0
CST_114739,Edward Taylor,40,F,N,Y,0,68703.89,365245,Unknown,2,0,21890.63,22419.14,61,851,0,0,0
CST_157348,Bart,55,F,Y,Y,0,143903.72,5088,Private service staff,2,0,35518.55,16279.37,61,934,0,0,0
CST_104609,Kevin Yao,41,F,N,N,0,96048.04,3019,Unknown,1,0,19165.84,19076.1,17,801,0,0,0
CST_151448,Vlastelica,53,M,N,Y,1,250756.63,1104,Laborers,3,1,44351.94,75787.41,21,655,0,0,0
CST_164200,Aldred,28,F,N,Y,0,221697.09,365251,Unknown,2,0,24997.08,50489.1,48,827,0,0,0
CST_118765,Orathai Sriring,35,F,Y,Y,0,155828.78,365250,Unknown,2,0,23371.93,31763.77,58,655,0,0,0
CST_132738,Sue,40,M,N,Y,2,72074.13,2511,Laborers,4,0,17977.21,14776.65,56,853,0,0,0
CST_139378,Diane,46,F,Y,N,1,214024.27,2496,Sales staff,3,0,41691.26,63458.38,65,777,0,0,0
CST_131096,Kaori,43,M,Y,Y,1,245413.51,248,Managers,3,0,58644.01,83522.14,7,668,0,0,0
CST_130866,Chuck,32,M,Y,Y,0,75030.04,365246,Unknown,2,0,17913.73,15331.32,87,949,0,0,0
CST_103698,Paul Taylor,48,F,Y,Y,0,143578.1,426,Security staff,2,1,36425.15,31265.55,91,546,2,0,1
CST_125653,Thomas Ingrid,28,M,N,N,1,211743.97,606,Drivers,3,0,11714.79,39146.55,84,930,0,0,0
CST_147344,Tara,45,F,N,Y,0,170934.59,365243,Unknown,2,0,23452.96,30736.23,6,866,0,0,0
CST_108632,David Milliken,41,M,N,Y,0,389299.58,2963,Unknown,1,0,36865.76,130659.7,40,670,0,0,0
